time_5min,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
2020-04-06 00:00:00,3.116774889895918,2.712405363721075,3.3354160160315836,,2.8753881725529062,0.5773502691896257
2020-04-06 00:05:00,3.1370223287233854,3.437758254761643,3.7050334313299698,2.1213203435596424,3.869069264008719,0.0
2020-04-06 00:10:00,3.3166247903554,2.7601053998320095,4.272533844751315,2.4899799195977463,3.4138754304375922,0.5477225575051661
2020-04-06 00:15:00,2.6726124191242437,4.2594432902501635,3.401680257083045,4.949747468305833,3.25868802112869,
2020-04-06 00:20:00,5.0579969684978385,1.632993161855452,3.4641016151377544,3.785938897200183,4.654746681256314,
2020-04-06 00:25:00,2.9246489410818914,3.1594529363709247,3.181980515339464,1.7320508075688772,2.615202805574687,
2020-04-06 00:30:00,4.358898943540674,3.785938897200183,1.1547005383792517,,1.7320508075688772,
2020-04-06 00:35:00,3.5790395093549625,4.29839394148448,3.3022358947782493,1.707825127659933,2.9277002188455996,
2020-04-06 00:40:00,3.5629263877386586,2.697735676039774,3.5355339059327378,2.8284271247461903,2.6925824035672523,0.5773502691896258
2020-04-06 00:45:00,4.449719092257398,1.7888543819998317,3.3166247903554003,0.7071067811865476,3.5071355833500366,
2020-04-06 00:50:00,3.5456210417116734,3.543101950067402,4.375255094603872,3.605551275463989,3.9977672339873487,0.7071067811865476
2020-04-06 00:55:00,3.166666666666667,2.4037008503093262,2.8771127502720115,4.949747468305833,3.082207001484488,0.7071067811865476
2020-04-06 01:00:00,4.031128874149275,2.96273147243853,3.492054473292827,3.646916505762094,4.136557881996953,0.0
2020-04-06 01:05:00,3.779644730092272,4.117326918327103,3.4641016151377544,5.033222956847166,3.5790395093549625,
2020-04-06 01:10:00,4.255715111601235,2.758824226207808,3.2829526005987018,3.976119189552019,2.5549516194593154,
2020-04-06 01:15:00,3.204564052914338,3.5019617735972313,3.718087656870911,2.6832815729997477,4.032832288074507,
