location,time_5min,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
1,2020-04-06 00:35:00,,,,,,
1,2020-04-06 01:20:00,,,,,,
1,2020-04-06 01:25:00,,,,,,
1,2020-04-06 01:35:00,,,,,,
1,2020-04-06 02:00:00,,,,,,
1,2020-04-06 02:15:00,4.242640687119285,0.0,4.949747468305833,2.1213203435596424,4.949747468305833,
1,2020-04-06 02:20:00,,,,,,
1,2020-04-06 02:25:00,5.656854249492381,1.4142135623730951,2.1213203435596424,0.7071067811865476,4.242640687119285,
1,2020-04-06 02:30:00,,,,,,
1,2020-04-06 03:00:00,,,,,,
1,2020-04-06 03:05:00,,,,,,
1,2020-04-06 03:50:00,,,,,,
1,2020-04-06 04:15:00,,,,,,
1,2020-04-06 04:40:00,,,,,,
1,2020-04-06 05:20:00,,,,,,
1,2020-04-06 06:25:00,,,,,,
1,2020-04-06 06:30:00,,,,,,
1,2020-04-06 06:40:00,,,,,,
1,2020-04-06 06:50:00,,,,,,
1,2020-04-06 07:00:00,,,,,,
1,2020-04-06 07:15:00,,,,,,
1,2020-04-06 07:40:00,1.4142135623730951,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.0,
1,2020-04-06 08:05:00,,,,,,
1,2020-04-06 08:20:00,,,,,,
1,2020-04-06 08:30:00,,,,,,
1,2020-04-06 09:15:00,,,,,,
1,2020-04-06 09:35:00,,,,,,
1,2020-04-06 09:45:00,,,,,,
1,2020-04-06 10:00:00,,,,,,
1,2020-04-06 10:25:00,,,,,,
1,2020-04-06 10:45:00,,,,,,
1,2020-04-06 11:15:00,,,,,,
1,2020-04-06 11:30:00,,,,,,
1,2020-04-06 11:40:00,,,,,,
1,2020-04-06 11:45:00,,,,,,
1,2020-04-06 12:00:00,3.5355339059327378,4.949747468305833,1.4142135623730951,4.242640687119285,6.363961030678928,
1,2020-04-06 12:15:00,,,,,,
1,2020-04-06 13:15:00,,,,,,
1,2020-04-06 14:05:00,,,,,,
1,2020-04-06 14:10:00,,,,,,
1,2020-04-06 14:15:00,,,,,,
1,2020-04-06 14:25:00,,,,,,
1,2020-04-06 14:35:00,,,,,,
1,2020-04-06 14:45:00,,,,,,
1,2020-04-06 14:50:00,1.4142135623730951,0.7071067811865476,5.656854249492381,3.5355339059327378,0.0,
1,2020-04-06 15:10:00,,,,,,
1,2020-04-06 15:30:00,2.8284271247461903,5.656854249492381,1.4142135623730951,4.242640687119285,3.5355339059327378,
1,2020-04-06 15:40:00,,,,,,
1,2020-04-06 15:45:00,,,,,,
1,2020-04-06 15:50:00,2.1213203435596424,0.7071067811865476,0.7071067811865476,2.1213203435596424,1.4142135623730951,
1,2020-04-06 15:55:00,,,,,,
1,2020-04-06 16:00:00,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
1,2020-04-06 16:05:00,,,,,,
1,2020-04-06 16:10:00,,,,,,
1,2020-04-06 16:15:00,1.7320508075688772,5.196152422706632,5.291502622129181,0.0,3.4641016151377544,0.7071067811865476
1,2020-04-06 16:20:00,,,,,,
1,2020-04-06 16:25:00,3.5355339059327378,0.7071067811865476,6.363961030678928,6.363961030678928,0.0,
1,2020-04-06 16:30:00,,,,,,
1,2020-04-06 16:35:00,,,,,,
1,2020-04-06 16:40:00,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.0
1,2020-04-06 16:50:00,,,,,,
1,2020-04-06 16:55:00,,,,,,
1,2020-04-06 17:10:00,0.7071067811865476,3.5355339059327378,2.1213203435596424,2.8284271247461903,7.0710678118654755,
1,2020-04-06 17:25:00,7.0710678118654755,1.4142135623730951,3.5355339059327378,0.7071067811865476,6.363961030678928,
1,2020-04-06 17:30:00,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
